time,city,监测点,AQI指数,空气质量状况,PM10,Co,No2,So2,O3
2019-04-30  21:00,qinhuangdao,北戴河环保局,51,良,51,0.5,12,6,126
2019-04-30  21:00,qinhuangdao,第一关,80,良,109,1.5,94,25,8
2019-04-30  21:00,qinhuangdao,监测站,62,良,74,0.9,70,8,61
2019-04-30  21:00,qinhuangdao,建设大厦,57,良,64,0.7,52,6,55
2019-04-30  21:00,qinhuangdao,文明里(启用171012),60,良,69,0.8,72,5,57
