time,city,监测点,AQI指数,空气质量状况,PM10,Co,No2,So2,O3
2019-04-30  21:00,taian,监测站,86,良,121,0.2,16,6,112
2019-04-30  21:00,taian,人口学校,86,良,121,0.3,22,6,107
2019-04-30  21:00,taian,电力学校,88,良,125,0.3,29,5,101
